accession,strain,gene,genotype
CY099970,A/duck/Viet_Nam/TMU018/2009(H5N1),HA,H5
DQ914814,A/chicken/Shanxi/2/2006(H5N1),HA,H5
EF535027,A/chicken/Viet_Nam/14/2005(H5N1),HA,H5
EU329177,A/wild_duck/Hunan/021/2005(H5N1),HA,H5
EU594349,A/duck/Hubei/Hangmei01/2006(H5N1),HA,H5
GU086081,A/swine/Guangdong/1222/2006(H1N2),HA,H1
GU182142,A/chicken/Hunan/3/2007(H5N1),HA,H5
GU182166,A/duck/Hunan/8/2008(H5N1),HA,H5
GU596984,A/duck/Shandong/009/2008(H5N1),HA,H5
GU727653,A/duck/Eastern_China/008/2008(H5N5),HA,H5
HE802739,A/common_gull/Norway/10_1617/2006(H16N3),HA,H16
HM006751,A/Chicken/Laos/Xaythiani_26/2006(H5N1),HA,H5
HQ166044,A/Netherlands/26/2007(H1N1),HA,H1
JF275949,A/swine/Shandong/N1/2009(H1N1),HA,H1
JQ396219,A/Kenya/118/2011(H1N1),HA,H1
JX094831,A/turtle_dove/Guangdong/300/2005(H5N1),HA,H5
JX507355,A/duck/Jiangsu/m234/2012(H5N2),HA,H5
JX534557,A/wild_duck/Shandong/2/2011(H5N1),HA,H5
JX534573,A/wild_duck/Jilin/HF/2011(H5N1),HA,H5
JX534581,A/wild_duck/Jilin/ZF/2011(H5N1),HA,H5
JX565019,A/chicken/Tibet/LZ01/2010(H5N2),HA,H5
KC535009,A/Japanese_white_eye/Taoyuan/Q454/2012(H5N1),HA,H5
KC690156,A/domestic_green_winged_teal/Hunan/3450/2006(H5N1),HA,H5
KJ579956,A/pigeon/Anhui/08/2013(H3N8),HA,H3
KJ754145,A/duck/Guangdong/GD01/2014(H5N6),HA,H5
KM267773,A/crow/India/02CA02/2012(H5N1),HA,H5
KM267792,A/pigeon/Bhutan/01BR01/2012(H5N1),HA,H5
KM276902,A/swine/Taiwan/NPUST0005/2013(H1N2),HA,H1
KM507530,A/swine/Brazil/232_11_13/2011(H1N2),HA,H1
KP638513,A/Vietnam/HN31676DH/2009(H5N1),HA,H5
KP715064,A/whooper_swan/Shanxi/17L/2015(H5N1),HA,H5
KP872899,A/quail/Vietnam/CVVI_50/2014(H5N1),HA,H5
KR732411,A/duck/Vietnam_SonLa/NCVD_33/2007(H5N1),HA,H5
KR732425,A/chicken/Vietnam/NCVD_398/2010(H5N1),HA,H5
KR732445,A/chicken/Egypt/102d/2010(H5N1),HA,H5
KR732536,A/chicken/Vietnam/NCVD_675/2011(H5N1),HA,H5
KT762431,A/duck/Hunan/S4020/2008(H5N1),HA,H5
KU143257,A/chicken/Wuhan/HAQL07/2014(H5N1),HA,H5
KU143270,A/duck/Wuhan/JXYFB22/2015(H5N6),HA,H5
KU143271,A/duck/Taizhou/TZYG12/2015(H5N6),HA,H5
KU143272,A/turtledove/Wuhan/WHBJ26/2014(H5N6),HA,H5
KU851866,A/chicken/China/G2/2012(H5N1),HA,H5
KU976536,A/swine/Mexico/AVX30/2012(H1N1),HA,H1
KU976557,A/swine/Mexico/AVX41/2012(H1N1),HA,H1
KU976560,A/swine/Mexico/AVX40/2012(H1N1),HA,H1
KU976565,A/swine/Mexico/AVX63/2014(H1N1),HA,H1
KU976943,A/swine/Mexico/AVX62/2014(H1N1),HA,H1
KX160148,A/chicken/Gansu/5/2012(H5N1),HA,H5
KX160156,A/chicken/Gansu/6/2012(H5N1),HA,H5
KX160164,A/chicken/Hebei/3/2013(H5N2),HA,H5
KX160179,A/chicken/Heilongjiang/S7/2014(H5N2),HA,H5
KX160201,A/chicken/Shandong/S3/2014(H5N2),HA,H5
KX513126,A/duck/Vietnam/QT1457_3/2012(H5N1),HA,H5
KX513154,A/duck/Vietnam/QT1726/2013(H5N1),HA,H5
KX513265,A/Muscovy_duck/Vietnam/BG80_2/2013(H5N1),HA,H5
KY241108,A/swine/France/22_150369/2015(H1N2),HA,H1
KY241139,A/swine/France/29_140033/2014(H1N2),HA,H1
KY320443,A/Whooper_Swan/Sanmenxia/01/2016(H5N8),HA,H5
KY415632,A/chicken/Taishun/TS90/2016(H5N6),HA,H5
KY614864,A/chicken/Majalengka/08160070_001/2016(H5N1),HA,H5
KY614872,A/chicken/Kuningan/08160178_003/2016(H5N1),HA,H5
KY614912,A/chicken/Banyuwangi/04160330/2016(H5N1),HA,H5
KY614991,A/chicken/Denpasar/06160095/2016(H5N1),HA,H5
LC026477,A/tundra_swan/Tottori/C6nk/2014(H5N8),HA,H5
LC364012,A/duck/Vietnam/HU5_1575/2016(H5N1),HA,H5
LC430960,A/swine/Miyagi/3/2003(H1N2),HA,H1
LC431156,A/swine/Shimane/1/1978(H1N1),HA,H1
MF099397,A/swine/Chile/15/2014(H1N1),HA,H1
MF116309,A/duck/China/E26/2012(H5N1),HA,H5
MF370343,A/swine/Siberia/1sw/2016(H1N1),HA,H1
MG836763,A/swine/Mexico/847021987050/2014(H1N1),HA,H1
MH061647,A/swine/Mexico/8935602/2012(H1N1),HA,H1
MH828301,A/swine/South_Korea/KS61/2016(H1N1),HA,H1
MK495325,A/Moscow/3/2019(H1N1),HA,H1
MN686412,A/swine/Ohio/18TOSU4084/2018(H1N2),HA,H1
AB671296,A/Kawasaki/173/2001(H1N1),HA,H1
AF386775,A/Hong_Kong/1131/98(H1N1),HA,H1
AF386776,A/Hong_Kong/1035/98(H1N1),HA,H1
AF386780,A/Hong_Kong/1134/98(H1N1),HA,H1
AY289928,A/Beijing/262/95(H1N1),HA,H1
CY002624,A/New_York/230/2003(H1N1),HA,H1
CY045519,A/swine/Oklahoma/032726/2008(H1N2),HA,H1
CY060410,A/mallard/Sweden/98/2002(H1N6),HA,H1
CY077768,A/Netherlands/002P1/1951(H1N1),HA,H1
CY094797,A/Niigata/F95/2007(H1N1),HA,H1
DQ249260,A/Taiwan/2985/2002(H1N1),HA,H1
EU382981,A/Guangzhou/483/2006(H1N1),HA,H1
EU382986,A/Guangzhou/1561/2006(H1N1),HA,H1
HE802059,A/WSN/1933(H1N1),HA,H1
KF680291,A/swine/Brazil/31_11_3/2011(H1N2),HA,H1
KM496987,A/swine/Brazil/18/2012(H1N1),HA,H1
KU976601,A/swine/Mexico/AVX16/2012(H1N2),HA,H1
KU976738,A/swine/Mexico/AVX50/2013(H1N2),HA,H1
KX431171,A/Kenya/19/2009(H1N1),HA,H1
KY614967,A/chicken/Lamongan/04160418/2016(H5N1),HA,H5
LC431444,A/swine/Miyagi/5/2003(H1N2),HA,H1
MF098822,A/swine/Melipilla/VN1401_1756/2015(H1N2),HA,H1
MF099073,A/swine/Chile/VN1401_4/2014(H1N2),HA,H1
MF973405,A/swine/Illinois/TM1702DTW30/2017(H1N2),HA,H1
MG572188,A/swine/Brazil/103_2/2014(H1N1),HA,H1
MN054101,A/swine/Nuble/VN1401_3755/2013(H1N1),HA,H1
MN054111,A/swine/O'Higgins/VN1401_4024/2018(H1N2),HA,H1
MN054189,A/Chile/JM_F6746/2000(H1N1),HA,H1
AF222032,A/Swine/Wisconsin/235/97(H1N1),HA,H1
KU976596,A/swine/Mexico/AVX61/2013(H1N2),HA,H1
KY925375,A/Passo_Fundo/LACENRS_1972/2009(H1N1),HA,H1
KY949802,A/Linkou/0030/2015(H1N1),HA,H1
KY950100,A/Linkou/0157/2016(H1N1),HA,H1
AB056699,A/Kayano/57(H2N2),HA,H2
AY684893,A/mallard/Netherlands/13/99(H2N2),HA,H2
CY003907,A/herring_gull/DE/698/1988(H2N1),HA,H2
CY005765,A/mallard/Potsdam/177_4/1983(H2N2),HA,H2
CY014603,A/herring_gull/Delaware/660/1988(H13N6),HA,H13
CY014608,A/duck/Nanchang/2_0486/2000(H2N9),HA,H2
CY014710,A/duck/Germany/1215/1973(H2N3),HA,H2
CY015089,A/turkey/Ireland/1378/1983(H5N8),HA,H5
CY015115,A/chicken/Italy/312/1997(H5N2),HA,H5
CY015135,A/ruddy_turnstone/Delaware/34/1993(H2N1),HA,H2
D13579,A/Izumi/5/1965(H2N2),HA,H2
FM179753,A/wigeon/Norway/10_1783/2006(H2N6),HA,H2
HQ200596,A/Cambodia/S1211394/2008(H5N1),HA,H5
J02127,A/Japan/305/1957(H2N2),HA,H2
JX565990,A/mallard/Sweden/99791/2009(H1N1),HA,H1
KJ568329,A/mallard/Ohio/13OS1972/2013(H2N8),HA,H2
KM402809,A/Netherlands/B1/1968(H2N2),HA,H2
KM654830,A/Connecticut/Flu182/2011(H1N1),HA,H1
KP179322,A/pekin_duck/Mexico/CPA_5009/2007(H6N2),HA,H6
KR732466,A/chicken/WestJava_Sbg_/29/2007(H5N1),HA,H5
KU322719,A/swine/Italy/327666/2013(H1N1),HA,H1
KX151176,A/Pavo_cristatus/Jiangxi/JA1/2016(H5N6),HA,H5
KY614888,A/quail/Sukoharjo/04152003/2015(H5N1),HA,H5
L11125,A/berkeley/1/1968(H2N2),HA,H2
L11126,A/Berlin/3/1964(H2N2),HA,H2
L11127,A/chicken/Potsdam/4705/1984(H2N2),HA,H2
L11129,A/duck/Germany/1972(H2N9),HA,H2
L11131,A/guinea/NJ/3070/91(H2N2),HA,H2
L11133,A/Korea/426/1968(H2N2),HA,H2
L11136,A/mallard/MT/Y61(H2N2),HA,H2
L11137,A/mallard/New_York/6750/1978(H2N2),HA,H2
L11140,A/Peking_duck/Potsdam/1689_4/85(H2N3),HA,H2
L20408,A/RI/5+/1957(H2N2),HA,H2
M18450,A/duck/Ireland/113/1983(H5N8),HA,H5
MF145718,A/mallard_duck/Netherlands/22/2013(H2N3),HA,H2
MF146986,A/mallard_duck/Netherlands/25/2011(H2N3),HA,H2
MF147519,A/mallard_duck/Netherlands/33/2011(H2N2),HA,H2
MF147536,A/mallard_duck/Netherlands/16/2014(H2N9),HA,H2
MK027079,A/Pavo_cristatus/China/JS02/2018(H5N6),HA,H5
MT406833,A/Anas_platyrhynchos/Belgium/10409/2018(H2N3),HA,H2
MT406897,A/Anas_platyrhynchos/Belgium/11127/2016(H2N3),HA,H2
AF222027,A/Swine/Wisconsin/136/97(H1N1),HA,H1
AF222031,A/Swine/Wisconsin/168/97(H1N1),HA,H1
CY003847,A/mallard/Alberta/77/1977(H2N3),HA,H2
CY003855,A/pintail/Alberta/293/1977(H2N9),HA,H2
CY003863,A/laughing_gull/New_Jersey/75/1985(H2N9),HA,H2
CY003871,A/mallard/Alberta/884/1984(H2N5),HA,H2
CY003879,A/mallard_duck/Alberta/376/1985(H2N3),HA,H2
CY003887,A/sanderling/New_Jersey/766/1986(H2N7),HA,H2
CY003936,A/mallard_duck/ALB/353/1988(H2N3),HA,H2
CY003944,A/mallard/Alberta/201/1996(H2N3),HA,H2
CY003960,A/blue_winged_teal/Alberta/16/1997(H2N9),HA,H2
CY003968,A/mallard/Alberta/205/1998(H2N3),HA,H2
CY003992,A/mallard/Alberta/79/2003(H2N3),HA,H2
CY005413,A/semi_palmated_sandpiper/Brazil/43/1990(H2N1),HA,H2
CY005546,A/duck/Hong_Kong/278/1978(H2N9),HA,H2
CY005808,A/gull/MD/19/1977(H2N9),HA,H2
CY014558,A/mallard_duck/Alberta/323/1988(H2N1),HA,H2
CY014821,A/chicken/New_York/13828_3/1995(H2N2),HA,H2
CY014829,A/guinea_fowl/New_York/20221_11/1995(H2N2),HA,H2
CY033340,A/northern_shoveler/California/HKWF1128/2007(H2N7),HA,H2
CY077786,A/Netherlands/056H1/1960(H2N2),HA,H2
CY080833,A/Boston/49/2009(H1N1),HA,H1
EF591749,A/ostrich/South_Africa/AI1091/2006(H5N2),HA,H5
GQ404705,A/Egyptian_goose/South_Africa/AI1448/2007(H1N8),HA,H1
KJ568185,A/blue_winged_teal/Ohio/13OS2104/2013(H2N3),HA,H2
KM213380,A/ruddy_turnstone/Iceland/1946/2012(H2N7),HA,H2
KM267920,A/swine/France/22_120421/2012(H1N1),HA,H1
KM267932,A/swine/France/44_140151/2014(H1N1),HA,H1
KT777885,A/red_billed_teal/South_Africa/KZN002/2012(H11N2),HA,H11
KX960477,A/blue_winged_teal/Guatemala/CIP049H111_98/2012(H2N3),HA,H2
KY241128,A/swine/France/22_140062/2014(H1N2),HA,H1
KY614951,A/chicken/Kediri/04160512/2016(H5N1),HA,H5
L11138,A/mallard/Ontario/56/76(H2N3),HA,H2
L11141,A/Pintail/Praimoric/625/76(H2N2),HA,H2
LC121276,A/duck/Mongolia/154/2015(H1N2),HA,H1
MF146097,A/tufted_duck/Georgia/1/2012(H2N3),HA,H2
MG279938,A/mallard_duck/Ohio/16OS5056/2016(H2N3),HA,H2
MG280380,A/mallard_duck/Ohio/16OS0953/2016(H2N3),HA,H2
MG280408,A/mallard_duck/Ohio/16OS0827/2016(H2N3),HA,H2
MK237244,A/greater_scaup/Wisconsin/17OS5322/2017(H2N3),HA,H2
MK237264,A/blue_winged_teal/Ohio/17OS1861/2017(H2N3),HA,H2
MK326705,A/blue_winged_teal/Guatemala/CIP049_H121_36/2014(H2N9),HA,H2
MK913441,A/mallard_duck/California/UCD402/2018(H2N7),HA,H2
MK928172,A/Mallard/California/D1516363/2015(H2N3),HA,H2
AB586811,A/chicken/Hong_Kong/SF4/2001(H6N1),HA,H6
AF250124,A/Swine/Indiana/9K035/99(H1N2),HA,H1
AY060046,A/SW/CO/17871/01(H1N2),HA,H1
AY060049,A/SW/MO/1877/01(H1N2),HA,H1
AY060051,A/SW/MN/34893/01(H1N2),HA,H1
AY060052,A/SW/MN/17138/01(H1N2),HA,H1
CY005538,A/duck/Hong_Kong/319/1978(H2N2),HA,H2
EF591757,A/ostrich/South_Africa/AI1160/2006(H5N2),HA,H5
KC620455,A/swine/HuNan/01/2008(H3N2),HA,H3
KM267924,A/swine/France/59_130174/2013(H1N1),HA,H1
KM267925,A/swine/France/29_130247/2013(H1N1),HA,H1
KM267929,A/swine/France/22_130441/2013(H1N1),HA,H1
KM267930,A/swine/France/64_130454/2013(H1N1),HA,H1
KM267933,A/swine/France/35_140041/2014(H1N2),HA,H1
KM267935,A/swine/France/35_130431/2013(H1N2),HA,H1
KP822966,A/swine/France/85_140375/2014(H1N1),HA,H1
KX431170,A/Kenya/39/2009(H1N1),HA,H1
KY241142,A/swine/France/56_140486/2014(H1N2),HA,H1
KY614832,A/chicken/Sleman/04141596/2014(H5N1),HA,H5
KY614840,A/chicken/Lampung_Utara/03160217/2016(H5N1),HA,H5
LC167550,A/Muscovy_duck/Vietnam/HU3_579/2015(H5N1),HA,H5
AY060047,A/SW/MN/23124_T/01(H1N2),HA,H1
AY060050,A/SW/MN/16419/01(H1N2),HA,H1
AY573917,A/chicken/Taiwan/1209/03(H5N2),HA,H5
CY070858,A/glaucous_winged_gull/Southcentral_Alaska/9JR0738R0/2009(H13N6),HA,H13
HQ200575,A/chicken/Cambodia/LC1AL/2007(H5N1),HA,H5
JQ858482,A/chicken/Egypt/11765s/2011(H5N1),HA,H5
KC894803,A/swine/France/53_130065/2013(H1N1),HA,H1
KX978076,A/black_headed_gull/Netherlands/17/2009(H13N3),HA,H13
KX978876,A/black_headed_gull/Netherlands/27/2009(H13N2),HA,H13
KX978929,A/black_headed_gull/Netherlands/4/2007(H13N6),HA,H13
KY415646,A/chicken/Ganzhou/GZ50/2015(H5N6),HA,H5
L09063,A/swine/Nebraska/1/1992(H1N1),HA,H1
M30122,A/turkey/Ontario/7732/1966(H5N9),HA,H5
MF461180,A/black_tailed_gull/Weihai/115/2016(H13N2),HA,H13
MF682848,A/black_headed_gull/Georgia/5/2012(H13N6),HA,H13
MH293472,A/swine/Guangdong/1/2007(H1N1),HA,H1
MN061139,A/Makhachkala/58/2019(H1N1),HA,H1
CY041903,A/swine/Minnesota/SG_00239/2007(H1N2),HA,H1
CY075890,A/Kol/NIV105774/2009(H1N1),HA,H1
CY099967,A/muscovy_duck/Viet_Nam/TMU014/2008(H5N1),HA,H5
DQ666933,A/Swine/Korea/S11/2005(H1N2),HA,H1
FJ436942,A/swan/Mangystau/3/2006(H5N1),HA,H5
JF327327,A/duck/OH/492493/2007(H2N3),HA,H2
CY005979,A/laughing_gull/Delaware_Bay/2838/1987(H13N2),HA,H13
CY014571,A/blue_winged_teal/Alberta/120/1991(H3N8),HA,H3
CY014694,A/gull/Maryland/704/1977(H13N6),HA,H13
JN673246,A/Anas_carolinensis/Arizona/A00480494/2008(H4),HA,H4
KF881531,A/chicken/Egypt/Q1090E/2010(H5N1),HA,H5
KJ889379,A/swine/Potsdam/1/1981(H1N1),HA,H1
KR183794,A/swine/Minnesota/A01470721/2015(H1N1),HA,H1
KY415603,A/duck/Hubei/ZYSYF4/2015(H3N6),HA,H3
LC318880,A/whooper_swan/Fukushima/1/2016(H5N6),HA,H5
MH546827,A/northern_pintail/Alaska/16_041335_11/2016(H5N2),HA,H5
V01086,A/Victoria/3/1975(H3N2),HA,H3
AB490826,A/northern_pintail/Akita/714/2006(H5N2),HA,H5
AY684894,A/mallard/Netherlands/3/99(H5N2),HA,H5
CY005575,A/duck/Hong_Kong/342/1978(H5N2),HA,H5
CY005918,A/mallard_duck/ALB/57/1976(H5N2),HA,H5
CY005931,A/shorebird/DE/68/2004(H13N9),HA,H13
CY006028,A/goose/Hong_Kong/23/1978(H5N3),HA,H5
CY006036,A/duck/Potsdam/2216_4/1984(H5N6),HA,H5
CY006040,A/chicken/Hidalgo/28159_232/1994(H5N2),HA,H5
CY014580,A/mallard_duck/ALB/645/1980(H5N2),HA,H5
CY014615,A/duck/Hong_Kong/205/1977(H5N3),HA,H5
CY014642,A/duck/Potsdam/1402_6/1986(H5N2),HA,H5
CY014726,A/duck/Minnesota/1525/1981(H5N1),HA,H5
CY014872,A/black_duck/New_York/184/1988(H5N2),HA,H5
CY015073,A/chicken/Pennsylvania/1/1983(H5N2),HA,H5
CY015081,A/chicken/Scotland/1959(H5N1),HA,H5
CY033444,A/American_green_winged_teal/California/HKWF609/2007(H5N2),HA,H5
CY034173,A/cinnamon_teal/California/HKWF1111/2007(H5N7),HA,H5
CY034679,A/mute_swan/Michigan/451072/2006(H5N1),HA,H5
CY034681,A/chicken/Pennsylvania/3609/1993(H5N2),HA,H5
CY034683,A/chicken/Texas/167280_4/2002(H5N3),HA,H5
CY061885,A/teal/Germany/WV632/2005(H5N1),HA,H5
CY077889,A/Liverpool/1951(H1N1),HA,H1
CY096672,A/blue_winged_teal/Guatemala/CIP049_12/2010(H5N4),HA,H5
DQ376628,A/chicken/Taiwan/SP1/00(H6N1),HA,H6
DQ376633,A/chicken/Taiwan/0329/01(H6N1),HA,H6
DQ376634,A/chicken/Taiwan/0222/02(H6N1),HA,H6
DQ826532,A/mallard/BC/373/2005(H5N2),HA,H5
FJ767720,A/mallard/Goseong/167/2007(H5N2),HA,H5
FJ789840,A/wild_bird_feces/Cheonsuman2/2002(H5N3),HA,H5
GQ917225,A/chicken/India/WB_NIV16915/2008(H5N1),HA,H5
HE802063,A/mallard/Denmark/64650/2003(H5N7),HA,H5
HE802064,A/turkey/Wisconsin/1968(H5N9),HA,H5
HF563056,A/mallard/Foehr/Wv1310_13/2003(H5N2),HA,H5
HF563057,A/ostrich/Germany/R5_10/2006(H5N3),HA,H5
HQ200593,A/duck/Cambodia/D1KP/2006(H5N1),HA,H5
JN588805,A/Cambodia/V0203306/2011(H5N1),HA,H5
JN588810,A/chicken/Cambodia/67F4/2008(H5N1),HA,H5
JQ858476,A/duck/Egypt/11685s/2011(H5N1),HA,H5
JQ990145,A/parrot/Guangdong/258/2004(H5N2),HA,H5
JX497768,A/wild_duck/Korea/SNU50_5/2009(H5N1),HA,H5
KF193386,A/chicken/Taiwan/0101/2012(H5N2),HA,H5
KF193394,A/chicken/Taiwan/A1997/2012(H5N2),HA,H5
KF435066,A/finch/England/2051/1991(H5N2),HA,H5
KM213391,A/ruddy_turnstone/Iceland/2899/2013(H5N1),HA,H5
KP033522,A/gull/Maryland/16/1985(H13N2),HA,H13
KX351551,A/American_wigeon/California/COL041/2014(H5N2),HA,H5
KX351587,A/American_wigeon/California/LS257/2014(H5N2),HA,H5
KX365067,A/blue_winged_teal/Guatemala/CIP049H098_32/2010(H5N3),HA,H5
KX431203,A/Kenya/29/2011(H1N1),HA,H1
KX458007,A/chinstrap_penguin/Antarctica/B04/2015(H5N5),HA,H5
KX977669,A/mallard_duck/Netherlands/12/2006(H5N2),HA,H5
KX977767,A/mallard_duck/Netherlands/5/2009(H5N2),HA,H5
KX977798,A/mallard_duck/Netherlands/1/2008(H5N3),HA,H5
KX977852,A/mallard_duck/Netherlands/28/2008(H5N2),HA,H5
KX977869,A/black_headed_gull/Netherlands/4/2010(H13N8),HA,H13
KX977950,A/Eurasian_wigeon/Netherlands/1/2010(H5N2),HA,H5
KX977974,A/greater_white_fronted_goose/Netherlands/2/2009(H5N3),HA,H5
KX978329,A/greater_white_fronted_goose/Netherlands/6/2008(H5N2),HA,H5
KX978688,A/greater_white_fronted_goose/Netherlands/2/2010(H5N2),HA,H5
KX978851,A/greater_white_fronted_goose/Netherlands/5/2010(H5N3),HA,H5
KX979003,A/mallard_duck/Netherlands/36/2006(H5N3),HA,H5
KX979009,A/mallard_duck/Netherlands/32/2011(H5N2),HA,H5
KX979499,A/mallard_duck/Netherlands/52/2008(H5N2),HA,H5
KX979501,A/mallard_duck/Netherlands/43/2006(H5N2),HA,H5
KX979575,A/Eurasian_wigeon/Netherlands/1/2009(H5N2),HA,H5
KY130664,A/glaucous_winged_gull/Alaska/392/2011(H5N2),HA,H5
KY575204,A/northern_shoveler/Mexico_Sonora/797/2008(H5N3),HA,H5
KY644498,A/blue_winged_teal/Guatemala/CIP049H113_53/2013(H5N3),HA,H5
KY983165,A/northern_shoveler/California/HS225/2015(H5N3),HA,H5
LC093079,A/Pigeon/Egypt/RIMD20/2009(H5N1),HA,H5
LC145035,A/duck/Chiba/4_V463/2009(H5N3),HA,H5
MF693964,A/mallard_duck/Netherlands/52/2015(H5N6),HA,H5
MG279832,A/mallard_duck/Maryland/16OS2571/2016(H1N1),HA,H1
MG279884,A/mallard_duck/Wisconsin/16OS4004/2016(H1N7),HA,H1
MG279996,A/mallard_duck/Maryland/16OS2484/2016(H1N1),HA,H1
MG280104,A/mallard_duck/Illinois/16OS4499/2016(H1N1),HA,H1
MG280247,A/mallard_duck/Tennessee/17OS0370/2017(H1N3),HA,H1
MH251194,A/mallard/California/UCD1199/2017(H5N2),HA,H5
MH251211,A/mallard/California/UCD1296/2017(H5N2),HA,H5
MH276986,A/Mallard_duck/New_Zealand/08.272.73/2008(H5N1),HA,H5
MH546531,A/lesser_snow_goose/Oregon/16_006224_1/2016(H5N3),HA,H5
MH546979,A/swan/Wyoming/16_026450_2/2016(H1N1),HA,H1
MH637353,A/mallard/Alberta/390/2017(H1N1),HA,H1
MH733806,A/red_knot/Delaware_Bay/225/2012(H1N8),HA,H1
MK236627,A/mallard/Wisconsin/17OS4163/2017(H1N1),HA,H1
MK326648,A/blue_winged_teal/Guatemala/CIP049_H116_96/2013(H5N2),HA,H5
MK326664,A/blue_winged_teal/Guatemala/CIP049_H117_42/2013(H5N3),HA,H5
MK995688,A/Northern_Shoveler/California/D1715696/2017(H5N3),HA,H5
MK995858,A/Northern_Shoveler/Utah/D1715326/2017(H5N2),HA,H5
MK995866,A/Ring_necked_Duck/Arizona/D1715902/2017(H5N2),HA,H5
MN253556,A/American_Green_winged_Teal/Virginia/AH0102543S.4.A/2016(H1N1),HA,H1
AF202241,A/conure/England/1234/94(H7N1),HA,H7
CY005927,A/shorebird/DE/101/2004(H5N7),HA,H5
CY014640,A/duck/New_Zealand/41/1984(H5N2),HA,H5
CY014720,A/gull/Minnesota/945/1980(H13N6),HA,H13
CY061294,A/chicken/West_Bengal/239020/2010(H5N1),HA,H5
KM654831,A/Connecticut/Flu187/2011(H1N1),HA,H1
KX431184,A/Kenya/30/2009(H1N1),HA,H1
LC121428,A/duck/Mongolia/655/2015(H2N3),HA,H2
LC208484,A/chicken/Japan/AQ_HE79/2015(H5N1),HA,H5
LC208492,A/chicken/Japan/AQ_HE144/2015(H5N6),HA,H5
MF146968,A/black_headed_gull/Netherlands/1/2000(H13N8),HA,H13
MH411859,A/mallard/Alberta/58/2017(H1N3),HA,H1
MH546141,A/mallard/Alaska/16_029597_2/2016(H5N2),HA,H5
MN253573,A/Mallard/Minnesota/AH0031714S.4.A/2015(H3N8),HA,H3
MN253601,A/Mallard/Pennsylvania/AH0119495S.4.A/2017(H3N8),HA,H3
AB284320,A/Aichi/2/1968(H3N2),HA,H3
AM746616,A/wild_boar/Germany/WS169/2006(H3N2),HA,H3
AM920723,A/swine/Germany/Vi3161/95(H3N2),HA,H3
AX350190,A/Udorn/307/1972(H3N2),HA,H3
AY684887,A/black_headed_gull/Sweden/1/99(H13N6),HA,H13
CY004657,A/mallard_duck/Alberta/438/1985(H3N4),HA,H3
CY004692,A/mallard/ALB/118/1995(H3N5),HA,H3
CY004702,A/mallard/Alberta/156/2001(H3N8),HA,H3
CY005915,A/mallard_duck/ALB/564/1979(H3N8),HA,H3
CY005916,A/mallard_duck/ALB/676/1979(H3N6),HA,H3
CY005917,A/mallard_duck/ALB/31/1976(H3N8),HA,H3
CY005935,A/pintail_duck/ALB/86/1976(H3N2),HA,H3
CY005938,A/pintail_duck/ALB/462/1979(H3N6),HA,H3
CY005941,A/mallard/Alberta/635/1983(H3N5),HA,H3
CY005942,A/mallard/ALB/394/1988(H3N3),HA,H3
CY005943,A/mallard_duck/ALB/26/1976(H3N1),HA,H3
CY006026,A/duck/Hong_Kong/7/1975(H3N2),HA,H3
CY006031,A/black_duck/AUS/751/1978(H3N8),HA,H3
CY006035,A/duck/NZL/38/1984(H3N8),HA,H3
CY014548,A/mallard_duck/Alberta/331/1985(H3N6),HA,H3
CY014633,A/red_necked_stint/Australia/4500/1980(H3N8),HA,H3
CY014702,A/duck/Chabarovsk/1610/1972(H3N8),HA,H3
CY014865,A/mallard_duck/New_York/157/1986(H3N6),HA,H3
CY014961,A/mallard_duck/New_York/174/1982(H3N8),HA,H3
CY032672,A/northern_shoveler/California/HKWF1201/2007(H3N5),HA,H3
CY032720,A/northern_pintail/California/HKWF792/2007(H3N8),HA,H3
CY035799,A/mallard/Interior_Alaska/2/2007(H3N8),HA,H3
CY035807,A/American_widgeon/Interior_Alaska/1/2007(H3N8),HA,H3
CY035815,A/northern_shoveler/Interior_Alaska/1/2007(H3N8),HA,H3
CY038386,A/American_green_winged_teal/Interior_Alaska/3/2007(H3N8),HA,H3
CY039620,A/northern_shoveler/California/HKWF569/2007(H3N1),HA,H3
CY039755,A/mallard/Interior_Alaska/6/2007(H3N8),HA,H3
CY060261,A/mallard/Netherlands/2/1999(H3N5),HA,H3
CY096656,A/blue_winged_teal/Guatemala/CIP049_05/2010(H3N8),HA,H3
CY107835,A/swine/Korea/1204/2009(H1N2),HA,H1
CY122341,A/swine/Mexico/Mex50/2010(H3N2),HA,H3
EF655846,A/pintail/Barrow/155/2005(H3N8),HA,H3
EU492529,A/duck/Beijing/33/04(H3N8),HA,H3
FJ877137,A/mallard/AB/431/2006(H3N8),HA,H3
GQ161136,A/swine/Bakum/IDT1769/2003(H3N2),HA,H3
HE802062,A/duck/Ukraine/1/1963(H3N8),HA,H3
J02132,A/Memphis/1/1971(H3N2),HA,H3
JN003630,A/duck/GuangXi/N42/2009(H3N2),HA,H3
JX030406,A/mallard/Korea/SH38_45/2010(H13N2),HA,H13
JX297592,A/Anas_discors/New_Mexico/A00327689/2007(H3),HA,H3
JX308801,A/duck/Shanghai/C84/2009(H3N2),HA,H3
KC222516,A/swine/Wuerusreuth/IDT10990/2009(H3N1),HA,H3
KC261669,A/duck/Jiangsu/26/2004(H3N2),HA,H3
KC261677,A/duck/Jiangsu/4/2010(H3N6),HA,H3
KC296467,A/Bilthoven/2271/1976(H3N2),HA,H3
